Model,R_squared,Adj_R_squared,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std,AIC,BIC,ICC,N_obs,N_groups,N_features
week_rank,0.35846696373938447,0.3545140599277026,0.3176155217522235,0.03046915241551308,2.6275062528409903,0.06527495578012493,13245.350643452419,13701.893382975042,0.43052322710064533,2777,60,17
placement,0.3687975675345688,0.3649083173164056,0.3317312157804215,0.037813390716166656,2.634951544899152,0.07568390651639667,13264.978026159637,13721.52076568226,0.4777176916684836,2777,60,17
