alpha,elim_acc,change
0.0,0.2364341085271318,18.446601941747577
0.1,0.22674418604651161,13.592233009708735
0.2,0.21511627906976744,7.766990291262137
0.30000000000000004,0.20155038759689922,0.9708737864077688
0.4,0.1996124031007752,0.0
0.5,0.17829457364341086,-10.679611650485429
0.6000000000000001,0.17248062015503876,-13.592233009708735
0.7000000000000001,0.15891472868217055,-20.388349514563103
0.8,0.1569767441860465,-21.35922330097087
0.9,0.14922480620155038,-25.24271844660195
1.0,0.14922480620155038,-25.24271844660195
