season,week,rank_sensitivity,pct_sensitivity,rank_fan_weight,pct_fan_weight
2,week2,0.2217922011657769,0.044358440233155376,0.5046728971962617,0.722109361688689
2,week3,0.16017495360388612,0.10678330240259074,0.48,0.6911201980245023
2,week4,0.1117629266316793,0.05588146331583965,0.47572815533980584,0.539203821428232
2,week5,0.05093173526351252,0.0,0.5,0.9512498173295011
2,week6,0.06074611430593631,0.06074611430593631,0.5208333333333333,0.9377158424107517
2,week7,0.10005062813061591,0.10005062813061591,0.425531914893617,0.8731813325444641
3,week1,0.28601564804733437,0.2502636920414176,0.48908649959579625,0.9711983935691155
3,week2,0.1184158276532061,0.0,0.5378096479791394,0.721503168694015
3,week3,0.07765499290156588,0.0,0.5018587360594796,0.6750826383651487
3,week4,0.08635490320930939,0.17270980641861877,0.5193199381761978,0.6813236213338884
3,week5,0.0,0.0,0.42424242424242425,0.956637134650558
3,week7,0.06192849537596089,0.06192849537596089,0.43859649122807015,0.9595971063207583
3,week8,0.0,0.0,0.5128205128205129,0.9860353916322128
4,week1,0.24263810485211082,0.21230834174559698,0.48751007252215955,0.9839602626615166
4,week2,0.0479498636844742,0.0479498636844742,0.5325704225352113,0.7969340166684582
4,week3,0.2466880740768608,0.2466880740768608,0.43673901535203813,0.813199466591966
4,week4,0.21295840652559547,0.0,0.5283757338551859,0.6878714929440692
4,week5,0.0940787188378346,0.0,0.5,0.6318243610905903
4,week6,0.055701098811614815,0.055701098811614815,0.46009389671361506,0.8439171466299605
4,week7,0.0935231950366635,0.0935231950366635,0.4565217391304348,0.903374462635057
4,week8,0.12217360487142825,0.0,0.5,0.8831278758748963
5,week1,0.3796663337689093,0.3796663337689093,0.5072420928170264,0.9842903356330082
5,week2,0.1462555068187454,0.048751835606248475,0.5475113122171946,0.6993267592600392
5,week3,0.4091070278426566,0.24546421670559396,0.44023479188900744,0.8213277216992347
5,week4,0.7160650905530306,0.381901381628283,0.4838709677419355,0.9017578013785688
5,week5,0.25797334444542347,0.06449333611135587,0.5283018867924528,0.782462714055523
5,week6,0.0,0.15871860387996622,0.5104166666666667,0.8221255093320361
5,week7,0.07019703458281652,0.0,0.5023923444976076,0.9933670303884005
5,week8,0.0,0.07873084029262521,0.5,0.9587157987064828
6,week1,0.25522496934247685,0.21268747445206404,0.5105695830886671,0.977193758914136
6,week2,0.1849870732418298,0.0616623577472766,0.47786131996658315,0.7502514217661159
6,week3,0.0,0.10291823734160852,0.5834512022630833,0.8132713395398786
6,week4,0.2574910004261967,0.15449460025571804,0.49907578558225507,0.788957630285817
6,week5,0.13129147792342336,0.0,0.49122807017543857,0.8101166322373791
6,week6,0.0,0.058725414222790644,0.5297297297297298,0.8763543135143831
6,week7,0.06132366662165303,0.06132366662165303,0.532994923857868,0.977652751899579
6,week8,0.0,0.08299995521896054,0.5,0.9766221281636038
7,week1,0.19791787693172846,0.2770850277044198,0.5072898799313893,0.9809486242194937
7,week2,0.08438161050161024,0.04219080525080512,0.4689922480620155,0.7661160399326095
7,week4,0.04671389240308545,0.0,0.49907578558225507,0.8719156349656499
7,week5,0.12797792757487297,0.06398896378743649,0.5562913907284769,0.7633230299836615
7,week6,0.15900990343790858,0.053003301145969524,0.5104166666666667,0.7877070335332955
7,week7,0.07080544889464631,0.0,0.4751131221719457,0.8609782975545124
7,week8,0.06855614007133974,0.06855614007133974,0.5952380952380952,0.9749445163441148
8,week1,0.3790143834591897,0.25267625563945983,0.49685006299874,0.9833097275715936
8,week10,0.0,0.09200387551222172,0.5,0.9369454210383109
8,week2,0.07843204610851234,0.07843204610851234,0.5213750550903482,0.7061153945889994
8,week3,0.1848991989652017,0.12326613264346782,0.45735607675906187,0.6369288974568089
8,week4,0.09005525551674713,0.030018418505582376,0.4963084495488105,0.6837893894470983
8,week5,0.2091552900440205,0.052288822511005126,0.4804270462633452,0.7528818734228822
8,week6,0.24446778321098223,0.0977871132843929,0.48908296943231444,0.7445670990544193
8,week7,0.09872773775677725,0.049363868878388624,0.49246231155778897,0.922064444735489
8,week8,0.12508057350270663,0.0,0.5023923444976076,0.9594374616573117
9,week1,0.7534009003400486,0.7952565059144958,0.5190839694656488,0.9592566240376643
9,week2,0.11900807047576922,0.08925605285682692,0.5306564478507164,0.8076721929835347
9,week3,0.13671335099769005,0.02734267019953801,0.5023354564755839,0.7877248484594735
9,week4,0.24384990096479878,0.03483570013782839,0.4950900163666121,0.7135307068595919
9,week5,0.34549192931307193,0.1535519685835875,0.5111524163568774,0.9163153083848273
9,week6,0.1779756701607939,0.14238053612863513,0.5,0.8616039989228372
9,week7,0.0,0.04767852217839119,0.49246231155778897,0.9660617865012101
9,week8,0.0,0.0,0.5952380952380952,0.9371308758029094
10,week1,0.2835573496084511,0.3465700939658846,0.5033277870216306,0.9833106000268921
10,week2,0.08739403798853147,0.043697018994265736,0.5024916943521595,0.5810049810397422
10,week3,0.19032583729868036,0.11419550237920821,0.4896142433234421,0.7461237144698193
10,week4,0.08875935054462264,0.04437967527231132,0.5,0.7532998194903835
10,week5,0.09608574349090102,0.0,0.5258215962441315,0.6783041273607309
10,week6,0.0,0.0,0.5,0.8127539706425293
10,week7,0.058133499906667184,0.058133499906667184,0.48165137614678893,0.9916568458145376
10,week8,0.16621098907495774,0.05540366302498591,0.4807692307692307,0.9388602736924893
11,week1,0.39274481469331796,0.2356468888159908,0.539622641509434,0.9822967274509596
11,week2,0.3284620050855776,0.14076943075096182,0.5075503355704698,0.6549919017551704
11,week3,0.5020784127831889,0.18257396828479597,0.4727793696275072,0.8242539058995595
11,week4,0.1612931312268335,0.0,0.5,0.5595400754745609
11,week5,0.1804644189544115,0.12030961263627434,0.48908296943231444,0.7907192629570575
11,week6,0.0,0.07649338223692977,0.5,0.7342865240520418
11,week7,0.0,0.0,0.4506437768240343,0.9749114161678007
11,week8,0.0681338039120689,0.0681338039120689,0.4385964912280701,0.9399927677986988
12,week1,0.1786431327747592,0.1786431327747592,0.4950900163666121,0.9733203357968164
12,week2,0.2805654706663549,0.18704364711090327,0.5127118644067797,0.7823775338821602
12,week3,0.28697809477223524,0.19131872984815684,0.49879081015719456,0.7592969551923496
12,week4,0.2805502539681308,0.22444020317450464,0.483005366726297,0.8336018451588327
12,week5,0.19289693026906055,0.12859795351270703,0.5562913907284769,0.8840773994485871
