season,week,n_contestants,rank_fan_weight,rank_judge_weight,rank_marginal_effect,rank_sensitivity,pct_fan_weight,pct_judge_weight,pct_marginal_effect,pct_sensitivity
21,week4,10,0.45807884508606334,0.5419211549139367,8.0,0.2401181898286394,0.7646433201791583,0.23535667982084174,9.0,0.1200590949143197
21,week6,9,0.453781512605042,0.546218487394958,12.222222222222221,0.32180089965325465,0.6965235939960908,0.3034764060039093,14.444444444444445,0.0
21,week7,8,0.4772727272727273,0.5227272727272727,7.5,0.0,0.9674477270689551,0.03255227293104495,12.5,0.3231224693719605
21,week8,7,0.49246231155778897,0.507537688442211,4.285714285714286,0.0,0.9023416203022835,0.09765837969771651,2.857142857142857,0.0
22,week1,12,0.4534550195567145,0.5465449804432855,0.0,0.2626396280510888,0.9809392122480883,0.0190607877519117,0.8333333333333334,0.0
22,week2,12,0.48763853367433935,0.5123614663256607,20.833333333333332,0.10164176294829032,0.7753314127051874,0.22466858729481265,20.833333333333332,0.20328352589658064
22,week3,11,0.5373001776198933,0.4626998223801066,11.818181818181818,0.0,0.8466610009038795,0.15333899909612042,15.454545454545455,0.1350390095893345
22,week4,10,0.4738655944859276,0.5261344055140724,12.0,0.0,0.7956280960322082,0.20437190396779187,12.0,0.0
22,week6,9,0.5544147843942505,0.44558521560574943,7.777777777777778,0.0,0.9096894019055828,0.09031059809441713,8.88888888888889,0.0
22,week7,8,0.5153374233128835,0.4846625766871166,8.75,0.19046592264686368,0.9931759468444304,0.0068240531555694844,8.75,0.0
22,week8,6,0.4506437768240343,0.5493562231759657,1.6666666666666667,0.0,0.9438345380897339,0.05616546191026609,5.0,0.0
23,week1,13,0.49560117302052786,0.5043988269794722,3.076923076923077,0.32590536423695604,0.9878880743161856,0.012111925683814244,3.076923076923077,0.32590536423695604
23,week10,5,0.43859649122807015,0.5614035087719298,4.0,0.0,0.9812964337064282,0.018703566293571786,6.0,0.536356307962105
23,week2,13,0.5336039693279206,0.4663960306720794,5.384615384615385,0.5489023635755714,0.8583345551192485,0.14166544488075156,9.23076923076923,0.27445118178778566
23,week3,12,0.5459751829462297,0.45402481705377024,11.666666666666666,0.2739188756132802,0.825093668922381,0.174906331077619,11.666666666666666,0.1369594378066401
23,week4,11,0.5079764903442485,0.4920235096557514,5.454545454545454,0.0,0.8405486190118651,0.1594513809881349,8.181818181818182,0.34407254355379924
23,week6,9,0.5103969754253309,0.4896030245746692,8.88888888888889,0.32965475736512406,0.8241372993127214,0.17586270068727863,7.777777777777778,0.0
23,week7,8,0.48345323741007196,0.516546762589928,11.25,0.22391601385794757,0.9662249254935331,0.033775074506466926,13.75,0.22391601385794757
23,week8,7,0.49246231155778897,0.507537688442211,5.714285714285714,0.19612439065137033,0.866028374530368,0.13397162546963198,5.714285714285714,0.0
24,week1,12,0.4787946428571428,0.5212053571428572,0.0,0.0,0.9698509636065579,0.03014903639344215,0.0,0.0
24,week2,12,0.5088967971530249,0.49110320284697506,12.5,0.2720633985612743,0.7936247619224173,0.20637523807758265,13.333333333333334,0.4080950978419115
24,week3,11,0.5535224153705398,0.44647758462946013,10.909090909090908,0.0,0.6524431957300003,0.34755680426999974,10.0,0.0
24,week4,10,0.5201765447667087,0.47982345523329134,8.0,0.0,0.832001496429885,0.16799850357011503,6.0,0.0
24,week5,9,0.5103969754253307,0.4896030245746692,11.11111111111111,0.0,0.8551210242222146,0.1448789757777854,11.11111111111111,0.0
24,week6,8,0.5,0.5,2.5,0.6063840626198403,0.9050910878829898,0.09490891211701027,3.75,0.0
24,week7,7,0.46009389671361506,0.5399061032863849,4.285714285714286,0.0,0.9581283370189126,0.04187166298108741,5.714285714285714,0.0
24,week8,5,0.5,0.5,4.0,0.0,0.9170607431982088,0.08293925680179114,4.0,0.0
25,week1,13,0.49046434494195684,0.5095356550580431,1.5384615384615385,0.3961030531098857,0.9864108392177924,0.013589160782207703,2.3076923076923075,0.3961030531098857
25,week2,13,0.5012711864406779,0.4987288135593221,7.6923076923076925,0.0,0.8771004824045462,0.12289951759545377,7.6923076923076925,0.10059159591555314
25,week4,11,0.5377777777777777,0.46222222222222226,11.818181818181818,0.0,0.9079374944392734,0.09206250556072651,10.909090909090908,0.0
25,week5,10,0.5218216318785579,0.47817836812144215,10.0,0.3013286265981561,0.9143102688551902,0.08568973114480986,11.0,0.0
25,week6,9,0.5103969754253307,0.4896030245746692,13.333333333333334,0.2954396354688499,0.8269434029442719,0.17305659705572807,7.777777777777778,0.0
25,week7,8,0.48,0.52,7.5,0.8866500344437359,0.9552655045207911,0.04473449547920889,10.0,0.664987525832802
25,week8,6,0.5,0.5,3.3333333333333335,0.0,0.9449141918616375,0.05508580813836259,1.6666666666666667,0.0
26,week1,10,0.4684838160136287,0.5315161839863715,4.0,0.2936822137428459,0.92433492886961,0.07566507113038994,5.0,0.2936822137428459
26,week2,8,0.4948453608247423,0.5051546391752577,3.75,0.0,0.9414487803037187,0.058551219696281326,2.5,0.0
26,week3,6,0.4751131221719457,0.5248868778280543,3.3333333333333335,0.0,0.9119216417962565,0.08807835820374348,3.3333333333333335,0.0
27,week1,13,0.4958088851634535,0.5041911148365466,10.0,0.1335627571187391,0.7893396177633499,0.21066038223665012,10.76923076923077,0.1335627571187391
27,week2,12,0.4565043894652833,0.5434956105347166,8.333333333333334,0.1070702441907981,0.8424594921452008,0.15754050785479914,9.166666666666666,0.1070702441907981
27,week3,11,0.4611280487804878,0.5388719512195123,9.090909090909092,0.15664117452260168,0.7813902415154228,0.2186097584845772,10.909090909090908,0.15664117452260168
27,week4,10,0.4835873388042204,0.5164126611957797,6.0,0.48394526997729975,0.6421763415790472,0.3578236584209527,7.0,0.0
27,week6,9,0.4936014625228519,0.5063985374771481,4.444444444444445,0.18187886891588775,0.8388176394252912,0.16118236057470878,6.666666666666667,0.18187886891588775
27,week7,8,0.5258215962441315,0.47417840375586856,1.25,0.0,0.9688297571715299,0.03117024282847017,7.5,0.4605033830765337
27,week8,6,0.47511312217194573,0.5248868778280543,1.6666666666666667,0.27024677459136104,0.9254819000129043,0.07451809998709572,5.0,0.27024677459136104
28,week1,12,0.5120859444941809,0.4879140555058192,1.6666666666666667,0.26544526671976054,0.9760079843728396,0.023992015627160294,1.6666666666666667,0.26544526671976054
