name,season,weeks_competed,avg_judge_rank,avg_fan_rank,judge_percentile,fan_percentile,rank_method_placement,pct_method_placement,judge_fan_gap,description
Jerry Rice,2,7,4.857142857142857,4.428571428571429,63.31168831168831,58.25752647851564,4.571428571428571,4.714285714285714,0.42857142857142794,尽管5周评委最低分，仍获得亚军
Billy Ray Cyrus,4,8,6.5,6.875,35.294117647058826,51.54566289752045,6.75,7.125,-0.375,6周评委最低分，仍获得第5名
Bristol Palin,11,8,6.5,5.75,41.32642857142857,67.25774313548914,6.25,5.875,0.75,12次评委最低分，仍获得第3名
Bobby Bones,27,7,7.285714285714286,7.285714285714286,49.553571428571416,47.87649437873068,7.142857142857143,7.285714285714286,0.0,评委分数一直较低，却赢得冠军
